Name,Title,Header,TechRoot
DsRoleGetPrimaryDomainInformation,DsRoleGetPrimaryDomainInformation,dsrole.h,ad
_DSROLE_OPERATION_STATE_INFO,DSROLE_OPERATION_STATE_INFO,dsrole.h,ad
_DSROLE_PRIMARY_DOMAIN_INFO_BASIC,DSROLE_PRIMARY_DOMAIN_INFO_BASIC,dsrole.h,ad
_DSROLE_UPGRADE_STATUS_INFO,DSROLE_UPGRADE_STATUS_INFO,dsrole.h,ad
__unnamed_enum_7,DS_KCC_TASKID,ntdsapi.h,ad
__unnamed_enum_2,DS_NAME_ERROR,ntdsapi.h,ad
__unnamed_enum_1,DS_NAME_FLAGS,ntdsapi.h,ad
__unnamed_enum_0,DS_NAME_FORMAT,ntdsapi.h,ad
_DS_REPL_INFO_TYPE,DS_REPL_INFO_TYPE,ntdsapi.h,ad
_DS_REPL_OP_TYPE,DS_REPL_OP_TYPE,ntdsapi.h,ad
__unnamed_enum_5,DS_REPSYNCALL_ERROR,ntdsapi.h,ad
__unnamed_enum_6,DS_REPSYNCALL_EVENT,ntdsapi.h,ad
__unnamed_enum_3,DS_SPN_NAME_TYPE,ntdsapi.h,ad
__unnamed_enum_4,DS_SPN_WRITE_OP,ntdsapi.h,ad
DsAddSidHistoryA,DsAddSidHistoryA,ntdsapi.h,ad
DsAddSidHistoryW,DsAddSidHistoryW,ntdsapi.h,ad
DsBindA,DsBindA,ntdsapi.h,ad
DsBindingSetTimeout,DsBindingSetTimeout,ntdsapi.h,ad
DsBindToISTGA,DsBindToISTGA,ntdsapi.h,ad
DsBindToISTGW,DsBindToISTGW,ntdsapi.h,ad
DsBindW,DsBindW,ntdsapi.h,ad
DsBindWithCredA,DsBindWithCredA,ntdsapi.h,ad
DsBindWithCredW,DsBindWithCredW,ntdsapi.h,ad
DsBindWithSpnA,DsBindWithSpnA,ntdsapi.h,ad
DsBindWithSpnExA,DsBindWithSpnExA,ntdsapi.h,ad
DsBindWithSpnExW,DsBindWithSpnExW,ntdsapi.h,ad
DsBindWithSpnW,DsBindWithSpnW,ntdsapi.h,ad
DsClientMakeSpnForTargetServerA,DsClientMakeSpnForTargetServerA,ntdsapi.h,ad
DsClientMakeSpnForTargetServerW,DsClientMakeSpnForTargetServerW,ntdsapi.h,ad
DsCrackNamesA,DsCrackNamesA,ntdsapi.h,ad
DsCrackNamesW,DsCrackNamesW,ntdsapi.h,ad
DsFreeDomainControllerInfoA,DsFreeDomainControllerInfoA,ntdsapi.h,ad
DsFreeDomainControllerInfoW,DsFreeDomainControllerInfoW,ntdsapi.h,ad
DsFreeNameResultA,DsFreeNameResultA,ntdsapi.h,ad
DsFreeNameResultW,DsFreeNameResultW,ntdsapi.h,ad
DsFreePasswordCredentials,DsFreePasswordCredentials,ntdsapi.h,ad
DsFreeSchemaGuidMapA,DsFreeSchemaGuidMapA,ntdsapi.h,ad
DsFreeSchemaGuidMapW,DsFreeSchemaGuidMapW,ntdsapi.h,ad
DsFreeSpnArrayA,DsFreeSpnArrayA,ntdsapi.h,ad
DsFreeSpnArrayW,DsFreeSpnArrayW,ntdsapi.h,ad
DsGetDomainControllerInfoA,DsGetDomainControllerInfoA,ntdsapi.h,ad
DsGetDomainControllerInfoW,DsGetDomainControllerInfoW,ntdsapi.h,ad
DsGetSpnA,DsGetSpnA,ntdsapi.h,ad
DsGetSpnW,DsGetSpnW,ntdsapi.h,ad
DsInheritSecurityIdentityA,DsInheritSecurityIdentityA,ntdsapi.h,ad
DsInheritSecurityIdentityW,DsInheritSecurityIdentityW,ntdsapi.h,ad
DsListDomainsInSiteA,DsListDomainsInSiteA,ntdsapi.h,ad
DsListDomainsInSiteW,DsListDomainsInSiteW,ntdsapi.h,ad
DsListInfoForServerA,DsListInfoForServerA,ntdsapi.h,ad
DsListInfoForServerW,DsListInfoForServerW,ntdsapi.h,ad
DsListRolesA,DsListRolesA,ntdsapi.h,ad
DsListRolesW,DsListRolesW,ntdsapi.h,ad
DsListServersForDomainInSiteA,DsListServersForDomainInSiteA,ntdsapi.h,ad
DsListServersForDomainInSiteW,DsListServersForDomainInSiteW,ntdsapi.h,ad
DsListServersInSiteA,DsListServersInSiteA,ntdsapi.h,ad
DsListServersInSiteW,DsListServersInSiteW,ntdsapi.h,ad
DsListSitesA,DsListSitesA,ntdsapi.h,ad
DsListSitesW,DsListSitesW,ntdsapi.h,ad
DsMakePasswordCredentialsA,DsMakePasswordCredentialsA,ntdsapi.h,ad
DsMakePasswordCredentialsW,DsMakePasswordCredentialsW,ntdsapi.h,ad
DsMapSchemaGuidsA,DsMapSchemaGuidsA,ntdsapi.h,ad
DsMapSchemaGuidsW,DsMapSchemaGuidsW,ntdsapi.h,ad
DsQuerySitesByCostA,DsQuerySitesByCostA,ntdsapi.h,ad
DsQuerySitesByCostW,DsQuerySitesByCostW,ntdsapi.h,ad
DsQuerySitesFree,DsQuerySitesFree,ntdsapi.h,ad
DsRemoveDsDomainA,DsRemoveDsDomainA,ntdsapi.h,ad
DsRemoveDsDomainW,DsRemoveDsDomainW,ntdsapi.h,ad
DsRemoveDsServerA,DsRemoveDsServerA,ntdsapi.h,ad
DsRemoveDsServerW,DsRemoveDsServerW,ntdsapi.h,ad
DsReplicaAddA,DsReplicaAddA,ntdsapi.h,ad
DsReplicaAddW,DsReplicaAddW,ntdsapi.h,ad
DsReplicaConsistencyCheck,DsReplicaConsistencyCheck,ntdsapi.h,ad
DsReplicaDelA,DsReplicaDelA,ntdsapi.h,ad
DsReplicaDelW,DsReplicaDelW,ntdsapi.h,ad
DsReplicaFreeInfo,DsReplicaFreeInfo,ntdsapi.h,ad
DsReplicaGetInfo2W,DsReplicaGetInfo2W,ntdsapi.h,ad
DsReplicaGetInfoW,DsReplicaGetInfoW,ntdsapi.h,ad
DsReplicaModifyA,DsReplicaModifyA,ntdsapi.h,ad
DsReplicaModifyW,DsReplicaModifyW,ntdsapi.h,ad
DsReplicaSyncA,DsReplicaSyncA,ntdsapi.h,ad
DsReplicaSyncAllA,DsReplicaSyncAllA,ntdsapi.h,ad
DsReplicaSyncAllW,DsReplicaSyncAllW,ntdsapi.h,ad
DsReplicaSyncW,DsReplicaSyncW,ntdsapi.h,ad
DsReplicaUpdateRefsA,DsReplicaUpdateRefsA,ntdsapi.h,ad
DsReplicaUpdateRefsW,DsReplicaUpdateRefsW,ntdsapi.h,ad
DsReplicaVerifyObjectsA,DsReplicaVerifyObjectsA,ntdsapi.h,ad
DsReplicaVerifyObjectsW,DsReplicaVerifyObjectsW,ntdsapi.h,ad
DsServerRegisterSpnA,DsServerRegisterSpnA,ntdsapi.h,ad
DsServerRegisterSpnW,DsServerRegisterSpnW,ntdsapi.h,ad
DsUnBindA,DsUnBindA,ntdsapi.h,ad
DsUnBindW,DsUnBindW,ntdsapi.h,ad
DsWriteAccountSpnA,DsWriteAccountSpnA,ntdsapi.h,ad
DsWriteAccountSpnW,DsWriteAccountSpnW,ntdsapi.h,ad
__unnamed_struct_13,DS_DOMAIN_CONTROLLER_INFO_1A,ntdsapi.h,ad
__unnamed_struct_14,DS_DOMAIN_CONTROLLER_INFO_1W,ntdsapi.h,ad
__unnamed_struct_15,DS_DOMAIN_CONTROLLER_INFO_2A,ntdsapi.h,ad
__unnamed_struct_16,DS_DOMAIN_CONTROLLER_INFO_2W,ntdsapi.h,ad
__unnamed_struct_17,DS_DOMAIN_CONTROLLER_INFO_3A,ntdsapi.h,ad
__unnamed_struct_18,DS_DOMAIN_CONTROLLER_INFO_3W,ntdsapi.h,ad
__unnamed_struct_0,DS_NAME_RESULT_ITEMA,ntdsapi.h,ad
__unnamed_struct_2,DS_NAME_RESULT_ITEMW,ntdsapi.h,ad
__unnamed_struct_1,DS_NAME_RESULTA,ntdsapi.h,ad
__unnamed_struct_3,DS_NAME_RESULTW,ntdsapi.h,ad
_DS_REPL_ATTR_META_DATA_2,DS_REPL_ATTR_META_DATA_2,ntdsapi.h,ad
_DS_REPL_ATTR_META_DATA_BLOB,DS_REPL_ATTR_META_DATA_BLOB,ntdsapi.h,ad
_DS_REPL_ATTR_META_DATA,DS_REPL_ATTR_META_DATA,ntdsapi.h,ad
_DS_REPL_ATTR_VALUE_META_DATA_2,DS_REPL_ATTR_VALUE_META_DATA_2,ntdsapi.h,ad
_DS_REPL_ATTR_VALUE_META_DATA_EXT,DS_REPL_ATTR_VALUE_META_DATA_EXT,ntdsapi.h,ad
_DS_REPL_ATTR_VALUE_META_DATA,DS_REPL_ATTR_VALUE_META_DATA,ntdsapi.h,ad
_DS_REPL_CURSOR_2,DS_REPL_CURSOR_2,ntdsapi.h,ad
_DS_REPL_CURSOR_3W,DS_REPL_CURSOR_3W,ntdsapi.h,ad
_DS_REPL_CURSOR_BLOB,DS_REPL_CURSOR_BLOB,ntdsapi.h,ad
_DS_REPL_CURSOR,DS_REPL_CURSOR,ntdsapi.h,ad
_DS_REPL_CURSORS_2,DS_REPL_CURSORS_2,ntdsapi.h,ad
_DS_REPL_CURSORS_3W,DS_REPL_CURSORS_3W,ntdsapi.h,ad
_DS_REPL_CURSORS,DS_REPL_CURSORS,ntdsapi.h,ad
_DS_REPL_KCC_DSA_FAILURESW,DS_REPL_KCC_DSA_FAILURESW,ntdsapi.h,ad
_DS_REPL_KCC_DSA_FAILUREW_BLOB,DS_REPL_KCC_DSA_FAILUREW_BLOB,ntdsapi.h,ad
_DS_REPL_KCC_DSA_FAILUREW,DS_REPL_KCC_DSA_FAILUREW,ntdsapi.h,ad
_DS_REPL_NEIGHBORSW,DS_REPL_NEIGHBORSW,ntdsapi.h,ad
_DS_REPL_NEIGHBORW_BLOB,DS_REPL_NEIGHBORW_BLOB,ntdsapi.h,ad
_DS_REPL_NEIGHBORW,DS_REPL_NEIGHBORW,ntdsapi.h,ad
_DS_REPL_OBJ_META_DATA_2,DS_REPL_OBJ_META_DATA_2,ntdsapi.h,ad
_DS_REPL_OBJ_META_DATA,DS_REPL_OBJ_META_DATA,ntdsapi.h,ad
_DS_REPL_OPW_BLOB,DS_REPL_OPW_BLOB,ntdsapi.h,ad
_DS_REPL_OPW,DS_REPL_OPW,ntdsapi.h,ad
_DS_REPL_PENDING_OPSW,DS_REPL_PENDING_OPSW,ntdsapi.h,ad
_DS_REPL_QUEUE_STATISTICSW,DS_REPL_QUEUE_STATISTICSW,ntdsapi.h,ad
_DS_REPL_VALUE_META_DATA_2,DS_REPL_VALUE_META_DATA_2,ntdsapi.h,ad
_DS_REPL_VALUE_META_DATA_BLOB_EXT,DS_REPL_VALUE_META_DATA_BLOB_EXT,ntdsapi.h,ad
_DS_REPL_VALUE_META_DATA_BLOB,DS_REPL_VALUE_META_DATA_BLOB,ntdsapi.h,ad
_DS_REPL_VALUE_META_DATA_EXT,DS_REPL_VALUE_META_DATA_EXT,ntdsapi.h,ad
_DS_REPL_VALUE_META_DATA,DS_REPL_VALUE_META_DATA,ntdsapi.h,ad
__unnamed_struct_6,DS_REPSYNCALL_ERRINFOA,ntdsapi.h,ad
__unnamed_struct_7,DS_REPSYNCALL_ERRINFOW,ntdsapi.h,ad
__unnamed_struct_4,DS_REPSYNCALL_SYNCA,ntdsapi.h,ad
__unnamed_struct_5,DS_REPSYNCALL_SYNCW,ntdsapi.h,ad
__unnamed_struct_8,DS_REPSYNCALL_UPDATEA,ntdsapi.h,ad
__unnamed_struct_9,DS_REPSYNCALL_UPDATEW,ntdsapi.h,ad
__unnamed_struct_11,DS_SCHEMA_GUID_MAPA,ntdsapi.h,ad
__unnamed_struct_12,DS_SCHEMA_GUID_MAPW,ntdsapi.h,ad
__unnamed_struct_10,DS_SITE_COST_INFO,ntdsapi.h,ad
IDsObjectPicker,IDsObjectPicker,objsel.h,ad
IDsObjectPickerCredentials,IDsObjectPickerCredentials,objsel.h,ad
_DS_SELECTION_LIST,DS_SELECTION_LIST,objsel.h,ad
_DS_SELECTION,DS_SELECTION,objsel.h,ad
_DSOP_FILTER_FLAGS,DSOP_FILTER_FLAGS,objsel.h,ad
_DSOP_INIT_INFO,DSOP_INIT_INFO,objsel.h,ad
_DSOP_SCOPE_INIT_INFO,DSOP_SCOPE_INIT_INFO,objsel.h,ad
_DSOP_UPLEVEL_FILTER_FLAGS,DSOP_UPLEVEL_FILTER_FLAGS,objsel.h,ad
_SCHEDULE_HEADER,SCHEDULE_HEADER,schedule.h,ad
_SCHEDULE,SCHEDULE,schedule.h,ad
,BFFCALLBACK,shlobj_core.h,ad
DsBindByInstanceA,DsBindByInstanceA,ntdsapi.h,ADAM
DsBindByInstanceW,DsBindByInstanceW,ntdsapi.h,ADAM
ADsBuildEnumerator,ADsBuildEnumerator,adshlp.h,adsi
ADsBuildVarArrayInt,ADsBuildVarArrayInt,adshlp.h,adsi
ADsBuildVarArrayStr,ADsBuildVarArrayStr,adshlp.h,adsi
ADsEncodeBinaryData,ADsEncodeBinaryData,adshlp.h,adsi
ADsEnumerateNext,ADsEnumerateNext,adshlp.h,adsi
ADsFreeEnumerator,ADsFreeEnumerator,adshlp.h,adsi
ADsGetLastError,ADsGetLastError,adshlp.h,adsi
ADsGetObject,ADsGetObject,adshlp.h,adsi
ADsOpenObject,ADsOpenObject,adshlp.h,adsi
ADsSetLastError,ADsSetLastError,adshlp.h,adsi
AllocADsMem,AllocADsMem,adshlp.h,adsi
AllocADsStr,AllocADsStr,adshlp.h,adsi
BinarySDToSecurityDescriptor,BinarySDToSecurityDescriptor,adshlp.h,adsi
FreeADsMem,FreeADsMem,adshlp.h,adsi
FreeADsStr,FreeADsStr,adshlp.h,adsi
ReallocADsMem,ReallocADsMem,adshlp.h,adsi
ReallocADsStr,ReallocADsStr,adshlp.h,adsi
SecurityDescriptorToBinarySD,SecurityDescriptorToBinarySD,adshlp.h,adsi
__MIDL___MIDL_itf_ads_0001_0048_0003,ADS_ACEFLAG_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0048_0002,ADS_ACETYPE_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0018,ADS_AUTHENTICATION_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0024,ADS_CHASE_REFERRALS_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0020,ADS_DEREFENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0078_0003,ADS_DISPLAY_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0078_0004,ADS_ESCAPE_MODE_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0048_0004,ADS_FLAGTYPE_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0078_0002,ADS_FORMAT_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0023_0001,ADS_GROUP_TYPE_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0050_0002,ADS_NAME_INITTYPE_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0050_0001,ADS_NAME_TYPE_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0077_0001,ADS_OPTION_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0026,ADS_PASSWORD_ENCODING_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0088_0001,ADS_PATHTYPE_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0022,ADS_PREFERENCES_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0027,ADS_PROPERTY_OPERATION_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0048_0001,ADS_RIGHTS_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0021,ADS_SCOPEENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0048_0005,ADS_SD_CONTROL_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0088_0002,ADS_SD_FORMAT_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0048_0006,ADS_SD_REVISION_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0025,ADS_SEARCHPREF_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0077_0002,ADS_SECURITY_INFO_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0078_0001,ADS_SETTYPE_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0019,ADS_STATUSENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0001_0017_0001,ADS_SYSTEMFLAG_ENUM,iads.h,adsi
ADS_USER_FLAG,ADS_USER_FLAG_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0023,ADSI_DIALECT_ENUM,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0001,ADSTYPEENUM,iads.h,adsi
IADs,IADs,iads.h,adsi
IADsAccessControlEntry,IADsAccessControlEntry,iads.h,adsi
IADsAccessControlList,IADsAccessControlList,iads.h,adsi
IADsAcl,IADsAcl,iads.h,adsi
IADsADSystemInfo,IADsADSystemInfo,iads.h,adsi
IADsBackLink,IADsBackLink,iads.h,adsi
IADsCaseIgnoreList,IADsCaseIgnoreList,iads.h,adsi
IADsClass,IADsClass,iads.h,adsi
IADsCollection,IADsCollection,iads.h,adsi
IADsComputer,IADsComputer,iads.h,adsi
IADsComputerOperations,IADsComputerOperations,iads.h,adsi
IADsContainer,IADsContainer,iads.h,adsi
IADsDeleteOps,IADsDeleteOps,iads.h,adsi
IADsDNWithBinary,IADsDNWithBinary,iads.h,adsi
IADsDNWithString,IADsDNWithString,iads.h,adsi
IADsDomain,IADsDomain,iads.h,adsi
IADsEmail,IADsEmail,iads.h,adsi
IADsExtension,IADsExtension,iads.h,adsi
IADsFaxNumber,IADsFaxNumber,iads.h,adsi
IADsFileService,IADsFileService,iads.h,adsi
IADsFileServiceOperations,IADsFileServiceOperations,iads.h,adsi
IADsFileShare,IADsFileShare,iads.h,adsi
IADsGroup,IADsGroup,iads.h,adsi
IADsHold,IADsHold,iads.h,adsi
IADsLargeInteger,IADsLargeInteger,iads.h,adsi
IADsLocality,IADsLocality,iads.h,adsi
IADsMembers,IADsMembers,iads.h,adsi
IADsNamespaces,IADsNamespaces,iads.h,adsi
IADsNameTranslate,IADsNameTranslate,iads.h,adsi
IADsNetAddress,IADsNetAddress,iads.h,adsi
IADsO,IADsO,iads.h,adsi
IADsObjectOptions,IADsObjectOptions,iads.h,adsi
IADsOctetList,IADsOctetList,iads.h,adsi
IADsOpenDSObject,IADsOpenDSObject,iads.h,adsi
IADsOU,IADsOU,iads.h,adsi
IADsPath,IADsPath,iads.h,adsi
IADsPathname,IADsPathname,iads.h,adsi
IADsPostalAddress,IADsPostalAddress,iads.h,adsi
IADsPrintJob,IADsPrintJob,iads.h,adsi
IADsPrintJobOperations,IADsPrintJobOperations,iads.h,adsi
IADsPrintQueue,IADsPrintQueue,iads.h,adsi
IADsPrintQueueOperations,IADsPrintQueueOperations,iads.h,adsi
IADsProperty,IADsProperty,iads.h,adsi
IADsPropertyEntry,IADsPropertyEntry,iads.h,adsi
IADsPropertyList,IADsPropertyList,iads.h,adsi
IADsPropertyValue,IADsPropertyValue,iads.h,adsi
IADsPropertyValue2,IADsPropertyValue2,iads.h,adsi
IADsReplicaPointer,IADsReplicaPointer,iads.h,adsi
IADsResource,IADsResource,iads.h,adsi
IADsSecurityDescriptor,IADsSecurityDescriptor,iads.h,adsi
IADsSecurityUtility,IADsSecurityUtility,iads.h,adsi
IADsService,IADsService,iads.h,adsi
IADsServiceOperations,IADsServiceOperations,iads.h,adsi
IADsSession,IADsSession,iads.h,adsi
IADsSyntax,IADsSyntax,iads.h,adsi
IADsTimestamp,IADsTimestamp,iads.h,adsi
IADsTypedName,IADsTypedName,iads.h,adsi
IADsUser,IADsUser,iads.h,adsi
IADsWinNTSystemInfo,IADsWinNTSystemInfo,iads.h,adsi
IDirectoryObject,IDirectoryObject,iads.h,adsi
IDirectorySchemaMgmt,IDirectorySchemaMgmt,iads.h,adsi
IDirectorySearch,IDirectorySearch,iads.h,adsi
_ads_attr_def,ADS_ATTR_DEF,iads.h,adsi
_ads_attr_info,ADS_ATTR_INFO,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0008,ADS_BACKLINK,iads.h,adsi
_ADS_CASEIGNORE_LIST,ADS_CASEIGNORE_LIST,iads.h,adsi
_ads_class_def,ADS_CLASS_DEF,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0015,ADS_DN_WITH_BINARY,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0016,ADS_DN_WITH_STRING,iads.h,adsi
__MIDL___MIDL_itf_ads_0000_0000_0014,ADS_EMAIL,iads.h,adsi
