Name,Title,Header,TechRoot
_DFS_TARGET_PRIORITY_CLASS,DFS_TARGET_PRIORITY_CLASS,lmdfs.h,dfs
ADsPropCheckIfWritable,ADsPropCheckIfWritable,adsprop.h,ad
ADsPropCreateNotifyObj,ADsPropCreateNotifyObj,adsprop.h,ad
ADsPropGetInitInfo,ADsPropGetInitInfo,adsprop.h,ad
ADsPropSendErrorMessage,ADsPropSendErrorMessage,adsprop.h,ad
ADsPropSetHwnd,ADsPropSetHwnd,adsprop.h,ad
ADsPropSetHwndWithTitle,ADsPropSetHwndWithTitle,adsprop.h,ad
ADsPropShowErrorDialog,ADsPropShowErrorDialog,adsprop.h,ad
_ADSPROPERROR,ADSPROPERROR,adsprop.h,ad
_ADSPROPINITPARAMS,ADSPROPINITPARAMS,adsprop.h,ad
,LPCQADDFORMSPROC,cmnquery.h,ad
,LPCQADDPAGESPROC,cmnquery.h,ad
,LPCQPAGEPROC,cmnquery.h,ad
ICommonQuery,ICommonQuery,cmnquery.h,ad
IPersistQuery,IPersistQuery,cmnquery.h,ad
IQueryForm,IQueryForm,cmnquery.h,ad
__unnamed_struct_0,CQFORM,cmnquery.h,ad
_cqpage,CQPAGE,cmnquery.h,ad
__unnamed_struct_1,OPENQUERYWINDOW,cmnquery.h,ad
IDsAdminCreateObj,IDsAdminCreateObj,dsadmin.h,ad
IDsAdminNewObj,IDsAdminNewObj,dsadmin.h,ad
IDsAdminNewObjExt,IDsAdminNewObjExt,dsadmin.h,ad
IDsAdminNewObjPrimarySite,IDsAdminNewObjPrimarySite,dsadmin.h,ad
IDsAdminNotifyHandler,IDsAdminNotifyHandler,dsadmin.h,ad
__unnamed_struct_0,DSA_NEWOBJ_DISPINFO,dsadmin.h,ad
,LPDSENUMATTRIBUTES,dsclient.h,ad
DsBrowseForContainerA,DsBrowseForContainerA,dsclient.h,ad
DsBrowseForContainerW,DsBrowseForContainerW,dsclient.h,ad
DsGetFriendlyClassName,DsGetFriendlyClassName,dsclient.h,ad
DsGetIcon,DsGetIcon,dsclient.h,ad
IDsBrowseDomainTree,IDsBrowseDomainTree,dsclient.h,ad
IDsDisplaySpecifier,IDsDisplaySpecifier,dsclient.h,ad
__unnamed_struct_3,DOMAIN_TREE,dsclient.h,ad
_DOMAINDESC,DOMAINDESC,dsclient.h,ad
__unnamed_struct_8,DSBITEMA,dsclient.h,ad
__unnamed_struct_7,DSBITEMW,dsclient.h,ad
__unnamed_struct_6,DSBROWSEINFOA,dsclient.h,ad
__unnamed_struct_5,DSBROWSEINFOW,dsclient.h,ad
__unnamed_struct_4,DSCLASSCREATIONINFO,dsclient.h,ad
_DSDISPLAYSPECOPTIONS,DSDISPLAYSPECOPTIONS,dsclient.h,ad
__unnamed_struct_0,DSOBJECT,dsclient.h,ad
__unnamed_struct_1,DSOBJECTNAMES,dsclient.h,ad
__unnamed_struct_2,DSPROPERTYPAGEINFO,dsclient.h,ad
DsAddressToSiteNamesA,DsAddressToSiteNamesA,dsgetdc.h,ad
DsAddressToSiteNamesExA,DsAddressToSiteNamesExA,dsgetdc.h,ad
DsAddressToSiteNamesExW,DsAddressToSiteNamesExW,dsgetdc.h,ad
DsAddressToSiteNamesW,DsAddressToSiteNamesW,dsgetdc.h,ad
DsDeregisterDnsHostRecordsA,DsDeregisterDnsHostRecordsA,dsgetdc.h,ad
DsDeregisterDnsHostRecordsW,DsDeregisterDnsHostRecordsW,dsgetdc.h,ad
DsEnumerateDomainTrustsA,DsEnumerateDomainTrustsA,dsgetdc.h,ad
DsEnumerateDomainTrustsW,DsEnumerateDomainTrustsW,dsgetdc.h,ad
DsGetDcCloseW,DsGetDcCloseW,dsgetdc.h,ad
DsGetDcNameA,DsGetDcNameA,dsgetdc.h,ad
DsGetDcNameW,DsGetDcNameW,dsgetdc.h,ad
DsGetDcNextA,DsGetDcNextA,dsgetdc.h,ad
DsGetDcNextW,DsGetDcNextW,dsgetdc.h,ad
DsGetDcOpenA,DsGetDcOpenA,dsgetdc.h,ad
DsGetDcOpenW,DsGetDcOpenW,dsgetdc.h,ad
DsGetDcSiteCoverageA,DsGetDcSiteCoverageA,dsgetdc.h,ad
DsGetDcSiteCoverageW,DsGetDcSiteCoverageW,dsgetdc.h,ad
DsGetForestTrustInformationW,DsGetForestTrustInformationW,dsgetdc.h,ad
DsGetSiteNameA,DsGetSiteNameA,dsgetdc.h,ad
DsGetSiteNameW,DsGetSiteNameW,dsgetdc.h,ad
DsMergeForestTrustInformationW,DsMergeForestTrustInformationW,dsgetdc.h,ad
DsValidateSubnetNameA,DsValidateSubnetNameA,dsgetdc.h,ad
DsValidateSubnetNameW,DsValidateSubnetNameW,dsgetdc.h,ad
_DOMAIN_CONTROLLER_INFOA,DOMAIN_CONTROLLER_INFOA,dsgetdc.h,ad
_DOMAIN_CONTROLLER_INFOW,DOMAIN_CONTROLLER_INFOW,dsgetdc.h,ad
_DS_DOMAIN_TRUSTSA,DS_DOMAIN_TRUSTSA,dsgetdc.h,ad
_DS_DOMAIN_TRUSTSW,DS_DOMAIN_TRUSTSW,dsgetdc.h,ad
_DS_MANGLE_FOR,DS_MANGLE_FOR,dsparse.h,ad
DsCrackSpnA,DsCrackSpnA,dsparse.h,ad
DsCrackSpnW,DsCrackSpnW,dsparse.h,ad
DsCrackUnquotedMangledRdnA,DsCrackUnquotedMangledRdnA,dsparse.h,ad
DsCrackUnquotedMangledRdnW,DsCrackUnquotedMangledRdnW,dsparse.h,ad
DsGetRdnW,DsGetRdnW,dsparse.h,ad
DsIsMangledDnA,DsIsMangledDnA,dsparse.h,ad
DsIsMangledDnW,DsIsMangledDnW,dsparse.h,ad
DsIsMangledRdnValueA,DsIsMangledRdnValueA,dsparse.h,ad
DsIsMangledRdnValueW,DsIsMangledRdnValueW,dsparse.h,ad
DsMakeSpnA,DsMakeSpnA,dsparse.h,ad
DsMakeSpnW,DsMakeSpnW,dsparse.h,ad
DsQuoteRdnValueA,DsQuoteRdnValueA,dsparse.h,ad
DsQuoteRdnValueW,DsQuoteRdnValueW,dsparse.h,ad
DsUnquoteRdnValueA,DsUnquoteRdnValueA,dsparse.h,ad
DsUnquoteRdnValueW,DsUnquoteRdnValueW,dsparse.h,ad
__unnamed_struct_1,DSCOLUMN,dsquery.h,ad
__unnamed_struct_3,DSQUERYCLASSLIST,dsquery.h,ad
__unnamed_struct_0,DSQUERYINITPARAMS,dsquery.h,ad
__unnamed_struct_2,DSQUERYPARAMS,dsquery.h,ad
_DSROLE_MACHINE_ROLE,DSROLE_MACHINE_ROLE,dsrole.h,ad
_DSROLE_OPERATION_STATE,DSROLE_OPERATION_STATE,dsrole.h,ad
_DSROLE_PRIMARY_DOMAIN_INFO_LEVEL,DSROLE_PRIMARY_DOMAIN_INFO_LEVEL,dsrole.h,ad
_DSROLE_SERVER_STATE,DSROLE_SERVER_STATE,dsrole.h,ad
DsRoleFreeMemory,DsRoleFreeMemory,dsrole.h,ad
