ad,ActiveDirectory
ADAM,ActiveDirectory
adsi,ActiveDirectory
AllJoyn,AllJoyn
AMSI,Antimalware
appxpkg,AppxPackaging
audio,Audio
automat,Automation
backup,SystemServices
base,SystemServices
battery,Battery
Bits,BackgroundIntelligentTransferService
bltooth,Bluetooth
bluetooth,Bluetooth
buses,UsbDrivers
cloudapi,CloudFilters
cmpapi,Compression
cimfs,CompositeImageFileSystem
com,Com
Controls,Controls
CoreAudio,CoreAudio
cos,ComponentServices
Direct2D,Direct2D
dataxchg,DataExchange
Debug,Debug
dedup,DataDeduplication
deviceaccess,DeviceAccess
devinst,DeviceAndDriverInstallation
devio,SystemServices
devlic,DeveloperLicensing
Dfs,DistributedFileSystem
DHCP,Dhcp
direct3d10,Direct3D10
direct3d11,Direct3D11
direct3d12,Direct3D12
direct3d9,Direct2D
direct3ddxgi,Dxgi
direct3dhlsl,Direct3DHlsl
directcomp, DirectComposition
directdraw,DirectDraw
directmanipulation,DirectManipulation
directml,DirectML
DirectShow,DirectShow
DirectWrite,DirectWrite
display,DisplayDevices
dlgbox,WindowsAndMessaging
DNS,Dns
dshow,DirectShow
dwm,Dwm
dxmath,DXMath
EAP,ExtensibleAuthenticationProtocol
eaphost,ExtensibleAuthenticationProtocol
EDP,WindowsInformationProtection
enstor,EnhancedStorage
ETW,Etw
Fax,Fax
FileIO,FileSystem
fs,FileSystem
fsrm,FileSeverResourceManager
fwp,WindowsFiltering
gamemode,GameMode
gamingdvcinfo,GamingDeviceInfo
gdi,Gdi
gdiplus,GdiPlus
gpmc,GroupPolicyManagementConsole
hcp,HardwareCounterProfiling
hid,Hid
hidpi,HiDpi
htmlhelp,HtmlHelp
http,Http
hyperv,HyperV
ics,WindowsFirewall
ifsk,InstallableFileSystems
imapi,IMapi
IndexSrv,IndexServer
input_ink,InkInput
input_intcontext,InteractionContext
input_radial,RadialInput
inputdev,KeyboardAndMouseInput
InputMsg,PointerInput
Intl,Intl
ipc,Ipc
IpHlp,IpHelper
iSCSIDisc,IScsiDisc
ixhr2,XmlHttpExtendedRequest
Kernel,Kernel
ldap,Ldap
lwef,LegacyWindowsEnvironmentFeatures
MachineLearning,MachineLearning
Madcap,Multicast
magapi,Magnification
mapi,Mapi
mbn,MobileBroadband
MDMReg,MobileDeviceManagementRegistration
mediatransport,MediaTransport
menurc,MenusAndResources
mf,MediaFoundation
MIB,Mib
MixedReality,MixedReality
mmc,Mmc
Monitor,Monitor
MsChap,PasswordManagement
MsCS,WindowsClustering
mstv,DirectShow
Multimedia,Multimedia
NAP,NetworkAccessProtection
ncd,OtherDeviceTechnologies
NDF,NetworkDiagnosticsFramework
NetBIOS,NetBios
NetMgmt,NetManagement
netshell,NetShell
NetVista,NetworkDrivers
nla,NetworkListManager
Nps,NetworkPolicyServer
nwifi,NativeWiFi
of,OfflineFiles
OPC,Packaging
OpenGL,OpenGL
oprec,OperationRecorder
p2p,P2P
parcon,ParentalControls
perf,Perf
picacq,PhotoAcquire
PLA,PerformanceLogAndAlerts
Policy,Policy
power,Power
powermeter,PowerMeter
printdocs,PrintDocs
proc_snap,ProcessSnapshotting
ProcThread,ProcessesAndThreads
ProjFS,ProjectedFileSystem
properties,WindowsPropertiesSystem
psapi,ProcessStatus
QOS,QualityOfService
rdc,RemoteDifferentialCompression
rdp,WindowsDesktopSharing
Recovery,Recovery
remoteassist,RemoteAssistance
rm,RightsManagement
Rpc,Rpc
RRAS,RoutingAndRemoteAccessService
rstmgr,RestartManager
SbsCs,ApplicationInstallationAndServicing
search,Search
SecAuthN,Security
SecBioMet,WindowsBiometricFramework
SecMgmt,Security
security,Security
Sens,SystemEventNotificationService
sensors,Sensors
serports,SerialController
Services,Services
setup,ApplicationInstallationAndServicing
shell,Shell
SMI,SettingsManagementInfrastructure
SNMP,Snmp
sr,SystemRestore
Stg,StructuredStorage
stream,StreamingMedia
swdevice,SoftwareDevice
Sync,Sync
SysMon,SystemMonitor
tablet,TabletPC
tapi3,Tapi
taskschd,TaskScheduler
TBS,TpmBaseServices
tcui,TitleCallableUI
TermServ,RemoteDesktopServices
ToolHelp,ToolHelp
tracelogging,TraceLogging
TSF,TextServices
ual,UserAccessLogging
UIAnimation,UIAnimation
upnp,UPnp
VStor,VirtualStorage
wab,WindowsAddressBook
wcm,WindowsConnectionManager
wcn,WindowsConnectNow
WCS,WindowsColorSystem
wds,WindowsDeploymentServices
WebDAV,WebDav
WebSock,WebSock
WEC,WindowsEventCollector
wer,WindowsErrorReporting
wes,WindowsEventLog
wia,Wia
wibe,WpfBitmapEffects
wic,WindowsImagingComponent
win32_tile_badge_notif,TilesBadgesNotifications
WinAuto,WindowsAccessibility
wincontacts,WindowsContacts
windowsribbon,WindowsRibbon
windowssetupandmigration,WindowsSetupAndMigration
winhttp,WinHttp
wininet,WinInet
winlocation,Location
winmsg,WindowsAndMessaging
winprog,WindowsProgramming
winrm,WindowsRemoteManagement
WinRT,WinRT
WinSAT,WindowsSystemAssessmentTool
winsensors,Sensors
WinSock,WinSock
winstation,WindowsStationsAndDesktops
winsync,WindowsSync
wintouch,TouchInput
WMDM,WindowsMediaDeviceManager
wmformat,WindowsMediaFormat
wmi,Wmi
wmi_v2,Wmi
WMLSS,WindowsMediaLibrarySharingServices
WMP,WindowsMediaPlayer
WNet,WindowsNetworking
wnv,WindowsNetworkVirtualization
wpdauto,WindowsPortableDevices
wpdsdk,WindowsPortableDevices
wsb,WindowsServerBackup
wsl,WindowsSubsystemForLinux
wsw,WindowsWebServices
wua,WindowsUpdateAgent
xaml_diagnostics,XamlDiagnostics
xaudio2,XAudio2
xblidp,Xblidp
xinput,XInput
xps,Xps
