File,Skipping,Reason
/shared/apiset.h,true,API set macros
/shared/apisetcconv.h,true,API set macros
/shared/basetsd.h,true,typedefs and inlined code we don't need
/shared/clfslsn.h,true,duplicate types we don't need
/shared/concurrencysal.h,true,SAL annotations
/shared/d3dkmdt.h,true,Ignoring kernel stuff
/shared/d3dkmthk.h,true,Ignoring kernel stuff
/shared/d3dukmdt.h,true,Ignoring kernel stuff
/shared/devioctl.h,true,Copy of winioctl.h
/shared/dontuse.h,true,Used for deprecation
/shared/dpfilter.h,true,Ignoring kernel stuff
/shared/driverspecs.h,true,SAL annotations
/shared/drivinit.h,true,Moved to wingdi.h
/shared/ehstorbandmgmt.h,true,Ignoring kernel stuff
/shared/ehstorioctl.h,true,Ignoring kernel stuff
/shared/fwpvi.h,true,Seems to be a bunch of redefines
/shared/gpio.h,true,Ignoring kernel stuff
/shared/hbaapi.h,true,Ignoring kernel stuff
/shared/hwn.h,true,Ignoring kernel stuff
/shared/initguid.h,true,Only for C guids
/shared/intsafe.h,true,Int helpers
/shared/ipv6prefast.h,true,SAL annotations
/shared/kernelspecs.h,true,Ignoring kernel stuff
/shared/ksarm.h,true,Ignoring kernel stuff
/shared/ksarm64.h,true,Ignoring kernel stuff
/shared/ksguid.h,true,Ignoring kernel stuff
/shared/kxarm.h,true,Ignoring kernel stuff
/shared/kxarm64.h,true,Ignoring kernel stuff
/shared/kxarm64unw.h,true,Ignoring kernel stuff
/shared/kxarmunw.h,true,Ignoring kernel stuff
/shared/lamp.h,false,Need lamp partition
/shared/math3dhelper.h,true,Math stuff that doesn't scrape
/shared/mprapidef.h,true,Max constants we don't need
/shared/nfcdtadev.h,false,Need NFC partition
/shared/nfcradiodev.h,false,Need NFC partition
/shared/nfcsedev.h,false,Need NFC partition
/shared/nfpdev.h,false,Need NFP partition
/shared/no_sal2.h,true,SAL annotations
/shared/ntdd1394.h,false,Need 1394 partition
/shared/ntddbeep.h,false,Need beep partition or put somewhere else
/shared/ntddcdrm.h,false,Need cdrom partition
/shared/ntddcdvd.h,false,Need dvd partition
/shared/ntddchgr.h,false,Need medium changer partition
/shared/ntdddisk.h,true,Duplicated ioctl constants
/shared/ntddmmc.h,true,Ignoring kernel stuff
/shared/ntddmodm.h,false,Need modem partition
/shared/ntddpar.h,false,Need parallel partition
/shared/ntddscm.h,true,Duplicated ioctl constants
/shared/ntddser.h,true,Duplicated ioctl constants
/shared/ntddtape.h,false,Need tape partition
/shared/ntddtdi.h,false,Need Transport driver interface partition
/shared/ntdskreg.h,true,Pre-vista stuff
/shared/ntverp.h,true,Build version stuff
/shared/nvme.h,false,Need NVMe partition
/shared/packoff.h,true,Pack stuff
/shared/packon.h,true,Pack stuff
/shared/poppack.h,true,Pack stuff
/shared/pshpack1.h,true,Pack stuff
/shared/pshpack2.h,true,Pack stuff
/shared/pshpack4.h,true,Pack stuff
/shared/pshpack8.h,true,Pack stuff
/shared/pshpck16.h,true,Pack stuff
/shared/reshub.h,false,Need Resource Hub partition
/shared/rpcnterr.h,false,Move RPC_ into a manual enum
/shared/rpcsal.h,true,SAL annotations
/shared/sal.h,true,SAL annotations
/shared/scsi.h,false,Need SCSI partition
/shared/scsiscan.h,false,Need SCSI partition
/shared/sdv_driverspecs.h,true,SAL annotations
/shared/spb.h,false,Need Simple Peripheral Bus partition
/shared/specstrings_strict.h,true,SAL annotations
/shared/specstrings_undef.h,true,SAL annotations
/shared/specstrings.h,true,SAL annotations
/shared/srb.h,false,Need SCSI partition
/shared/suppress.h,true,C warning suppressions
/shared/tbt3ioctls.h,false,Need Thunderbolt 3 partition
/shared/tdi.h,false,Need TDI partition
/shared/traceloggingactivity.h,true,Templates we can't use
