TIMECALLBACK,LPTIMECALLBACK
MAPISENDMAILW,LPMAPISENDMAILW
MAPIFINDNEXT,LPMAPIFINDNEXT
MAPIREADMAIL,LPMAPIREADMAIL
MAPISAVEMAIL,LPMAPISAVEMAIL
MAPIDELETEMAIL,LPMAPIDELETEMAIL
MAPIADDRESS,LPMAPIADDRESS
MAPIDETAILS,LPMAPIDETAILS
MAPIRESOLVENAME,LPMAPIRESOLVENAME
GET_RESOURCE_STRING_FN,PGET_RESOURCE_STRING_FN
NS_CONTEXT_COMMIT_FN,PNS_CONTEXT_COMMIT_FN
NS_CONTEXT_CONNECT_FN,PNS_CONTEXT_CONNECT_FN
NS_CONTEXT_DUMP_FN,PNS_CONTEXT_DUMP_FN
NS_DLL_STOP_FN,PNS_DLL_STOP_FN
NS_HELPER_START_FN,PNS_HELPER_START_FN
NS_HELPER_STOP_FN,PNS_HELPER_STOP_FN
FN_HANDLE_CMD,PFN_HANDLE_CMD
NS_OSVERSIONCHECK,PNS_OSVERSIONCHECK
NS_DLL_INIT_FN,PNS_DLL_INIT_FN
DRVCALLBACK,LPDRVCALLBACK
MMIOPROC,LPMMIOPROC
ACMDRIVERPROC,LPACMDRIVERPROC
JOYDEVMSGPROC,LPJOYDEVMSGPROC
TASKCALLBACK,LPTASKCALLBACK
INSTALLUI_HANDLER_RECORD,PINSTALLUI_HANDLER_RECORD
LPFNADDPROPSHEETPAGE,LPFNSVADDPROPSHEETPAGE
PTOP_LEVEL_EXCEPTION_FILTER,LPTOP_LEVEL_EXCEPTION_FILTER
SC_NOTIFICATION_CALLBACK,PSC_NOTIFICATION_CALLBACK
LSA_CREATE_LOGON_SESSION,PLSA_CREATE_LOGON_SESSION
LSA_DELETE_LOGON_SESSION,PLSA_DELETE_LOGON_SESSION
LSA_ADD_CREDENTIAL,PLSA_ADD_CREDENTIAL
LSA_GET_CREDENTIALS,PLSA_GET_CREDENTIALS
LSA_DELETE_CREDENTIAL,PLSA_DELETE_CREDENTIAL
LSA_ALLOCATE_LSA_HEAP,PLSA_ALLOCATE_LSA_HEAP
LSA_FREE_LSA_HEAP,PLSA_FREE_LSA_HEAP
LSA_ALLOCATE_PRIVATE_HEAP,PLSA_ALLOCATE_PRIVATE_HEAP
LSA_FREE_PRIVATE_HEAP,PLSA_FREE_PRIVATE_HEAP
LSA_ALLOCATE_CLIENT_BUFFER,PLSA_ALLOCATE_CLIENT_BUFFER
LSA_FREE_CLIENT_BUFFER,PLSA_FREE_CLIENT_BUFFER
LSA_COPY_TO_CLIENT_BUFFER,PLSA_COPY_TO_CLIENT_BUFFER
LSA_COPY_FROM_CLIENT_BUFFER,PLSA_COPY_FROM_CLIENT_BUFFER
LSA_AP_INITIALIZE_PACKAGE,PLSA_AP_INITIALIZE_PACKAGE
LSA_AP_LOGON_USER,PLSA_AP_LOGON_USER
LSA_AP_LOGON_USER_EX,PLSA_AP_LOGON_USER_EX
LSA_AP_CALL_PACKAGE,PLSA_AP_CALL_PACKAGE
LSA_AP_CALL_PACKAGE_PASSTHROUGH,PLSA_AP_CALL_PACKAGE_PASSTHROUGH
LSA_AP_LOGON_TERMINATED,PLSA_AP_LOGON_TERMINATED
LSA_CALLBACK_FUNCTION,PLSA_CALLBACK_FUNCTION
LSA_REDIRECTED_LOGON_INIT,PLSA_REDIRECTED_LOGON_INIT
LSA_REDIRECTED_LOGON_CALLBACK,PLSA_REDIRECTED_LOGON_CALLBACK
LSA_REDIRECTED_LOGON_GET_LOGON_CREDS,PLSA_REDIRECTED_LOGON_GET_LOGON_CREDS
LSA_REDIRECTED_LOGON_GET_SUPP_CREDS,PLSA_REDIRECTED_LOGON_GET_SUPP_CREDS
LSA_REDIRECTED_LOGON_CLEANUP_CALLBACK,PLSA_REDIRECTED_LOGON_CLEANUP_CALLBACK
LSA_IMPERSONATE_CLIENT,PLSA_IMPERSONATE_CLIENT
LSA_UNLOAD_PACKAGE,PLSA_UNLOAD_PACKAGE
LSA_DUPLICATE_HANDLE,PLSA_DUPLICATE_HANDLE
LSA_SAVE_SUPPLEMENTAL_CREDENTIALS,PLSA_SAVE_SUPPLEMENTAL_CREDENTIALS
LSA_CREATE_THREAD,PLSA_CREATE_THREAD
LSA_GET_CLIENT_INFO,PLSA_GET_CLIENT_INFO
LSA_REGISTER_NOTIFICATION,PLSA_REGISTER_NOTIFICATION
LSA_CANCEL_NOTIFICATION,PLSA_CANCEL_NOTIFICATION
LSA_MAP_BUFFER,PLSA_MAP_BUFFER
LSA_CREATE_TOKEN,PLSA_CREATE_TOKEN
LSA_AUDIT_LOGON,PLSA_AUDIT_LOGON
LSA_CALL_PACKAGE,PLSA_CALL_PACKAGE
LSA_CALL_PACKAGEEX,PLSA_CALL_PACKAGEEX
LSA_GET_CALL_INFO,PLSA_GET_CALL_INFO
LSA_AP_LOGON_USER_EX2,PLSA_AP_LOGON_USER_EX2
LSA_AP_LOGON_USER_EX3,PLSA_AP_LOGON_USER_EX3
LSA_CREATE_SHARED_MEMORY,PLSA_CREATE_SHARED_MEMORY
LSA_ALLOCATE_SHARED_MEMORY,PLSA_ALLOCATE_SHARED_MEMORY
LSA_FREE_SHARED_MEMORY,PLSA_FREE_SHARED_MEMORY
LSA_DELETE_SHARED_MEMORY,PLSA_DELETE_SHARED_MEMORY
LSA_OPEN_SAM_USER,PLSA_OPEN_SAM_USER
LSA_GET_USER_CREDENTIALS,PLSA_GET_USER_CREDENTIALS
LSA_GET_USER_AUTH_DATA,PLSA_GET_USER_AUTH_DATA
LSA_CLOSE_SAM_USER,PLSA_CLOSE_SAM_USER
LSA_CONVERT_AUTH_DATA_TO_TOKEN,PLSA_CONVERT_AUTH_DATA_TO_TOKEN
LSA_CLIENT_CALLBACK,PLSA_CLIENT_CALLBACK
LSA_REGISTER_CALLBACK,PLSA_REGISTER_CALLBACK
LSA_UPDATE_PRIMARY_CREDENTIALS,PLSA_UPDATE_PRIMARY_CREDENTIALS
LSA_GET_AUTH_DATA_FOR_USER,PLSA_GET_AUTH_DATA_FOR_USER
LSA_CRACK_SINGLE_NAME,PLSA_CRACK_SINGLE_NAME
LSA_AUDIT_ACCOUNT_LOGON,PLSA_AUDIT_ACCOUNT_LOGON
LSA_CALL_PACKAGE_PASSTHROUGH,PLSA_CALL_PACKAGE_PASSTHROUGH
LSA_PROTECT_MEMORY,PLSA_PROTECT_MEMORY
LSA_OPEN_TOKEN_BY_LOGON_ID,PLSA_OPEN_TOKEN_BY_LOGON_ID
LSA_EXPAND_AUTH_DATA_FOR_DOMAIN,PLSA_EXPAND_AUTH_DATA_FOR_DOMAIN
LSA_CREATE_TOKEN_EX,PLSA_CREATE_TOKEN_EX
LSA_GET_EXTENDED_CALL_FLAGS ,PLSA_GET_EXTENDED_CALL_FLAGS
LSA_GET_SERVICE_ACCOUNT_PASSWORD,PLSA_GET_SERVICE_ACCOUNT_PASSWORD
LSA_AUDIT_LOGON_EX,PLSA_AUDIT_LOGON_EX
LSA_CHECK_PROTECTED_USER_BY_TOKEN,PLSA_CHECK_PROTECTED_USER_BY_TOKEN
LSA_QUERY_CLIENT_REQUEST,PLSA_QUERY_CLIENT_REQUEST
LSA_GET_APP_MODE_INFO,PLSA_GET_APP_MODE_INFO
LSA_SET_APP_MODE_INFO,PLSA_SET_APP_MODE_INFO
KSEC_CREATE_CONTEXT_LIST,PKSEC_CREATE_CONTEXT_LIST
KSEC_INSERT_LIST_ENTRY,PKSEC_INSERT_LIST_ENTRY
KSEC_REFERENCE_LIST_ENTRY,PKSEC_REFERENCE_LIST_ENTRY
KSEC_DEREFERENCE_LIST_ENTRY,PKSEC_DEREFERENCE_LIST_ENTRY
KSEC_SERIALIZE_WINNT_AUTH_DATA,PKSEC_SERIALIZE_WINNT_AUTH_DATA
KSEC_SERIALIZE_SCHANNEL_AUTH_DATA,PKSEC_SERIALIZE_SCHANNEL_AUTH_DATA
KSEC_LOCATE_PKG_BY_ID,PKSEC_LOCATE_PKG_BY_ID
MAPISENDDOCUMENTS,LPMAPISENDDOCUMENTS
QUERYHANDLER,PQUERYHANDLER
LSA_LOCATE_PKG_BY_ID,PLSA_LOCATE_PKG_BY_ID
LSA_AP_PRE_LOGON_USER_SURROGATE,PLSA_AP_PRE_LOGON_USER_SURROGATE
LSA_AP_POST_LOGON_USER_SURROGATE,PLSA_AP_POST_LOGON_USER_SURROGATE
QUERYFORCONNECTION
NOTIFYOFNEWCONNECTION
DEREFERENCECONNECTION
UCharIteratorGetIndex
UCharIteratorMove
UCharIteratorHasNext
UCharIteratorHasPrevious
UCharIteratorCurrent
UCharIteratorNext
UCharIteratorPrevious
UCharIteratorReserved
UCharIteratorGetState
UCharIteratorSetState
VBS_BASIC_ENCLAVE_BASIC_CALL_RETURN_FROM_ENCLAVE
VBS_BASIC_ENCLAVE_BASIC_CALL_RETURN_FROM_EXCEPTION
VBS_BASIC_ENCLAVE_BASIC_CALL_TERMINATE_THREAD
VBS_BASIC_ENCLAVE_BASIC_CALL_INTERRUPT_THREAD
VBS_BASIC_ENCLAVE_BASIC_CALL_COMMIT_PAGES
VBS_BASIC_ENCLAVE_BASIC_CALL_DECOMMIT_PAGES
VBS_BASIC_ENCLAVE_BASIC_CALL_PROTECT_PAGES
VBS_BASIC_ENCLAVE_BASIC_CALL_CREATE_THREAD
VBS_BASIC_ENCLAVE_BASIC_CALL_GET_ENCLAVE_INFORMATION
VBS_BASIC_ENCLAVE_BASIC_CALL_GENERATE_KEY
VBS_BASIC_ENCLAVE_BASIC_CALL_GENERATE_REPORT
VBS_BASIC_ENCLAVE_BASIC_CALL_VERIFY_REPORT
VBS_BASIC_ENCLAVE_BASIC_CALL_GENERATE_RANDOM_DATA
OLDFONTENUMPROCA,FONTENUMPROCA,true
OLDFONTENUMPROCW,FONTENUMPROCW,true
_EVENT_CALLBACK,RTM_EVENT_CALLBACK,true
_ENTITY_METHOD,RTM_ENTITY_EXPORT_METHOD,true
PTHREAD_START_ROUTINE,LPTHREAD_START_ROUTINE,true
PENCLAVE_ROUTINE,LPENCLAVE_ROUTINE,true
ENCLAVE_TARGET_FUNCTION,LPENCLAVE_TARGET_FUNCTION
INTERNET_STATUS_CALLBACK,LPINTERNET_STATUS_CALLBACK,true
GET_RUNTIME_FUNCTION_CALLBACK,PGET_RUNTIME_FUNCTION_CALLBACK
OUT_OF_PROCESS_FUNCTION_TABLE_CALLBACK,POUT_OF_PROCESS_FUNCTION_TABLE_CALLBACK
