TIMECALLBACK,LPTIMECALLBACK
INTERFACE_TIMESTAMP_CONFIG_CHANGE_CALLBACK,PINTERFACE_TIMESTAMP_CONFIG_CHANGE_CALLBACK
RPCNOTIFICATION_ROUTINE,PFN_RPCNOTIFICATION_ROUTINE
CHANNEL_INIT_EVENT_FN,PCHANNEL_INIT_EVENT_FN
CHANNEL_OPEN_EVENT_FN,PCHANNEL_OPEN_EVENT_FN
VIRTUALCHANNELINIT,PVIRTUALCHANNELINIT
VIRTUALCHANNELOPEN,PVIRTUALCHANNELOPEN
VIRTUALCHANNELCLOSE,PVIRTUALCHANNELCLOSE
VIRTUALCHANNELWRITE,PVIRTUALCHANNELWRITE
VIRTUALCHANNELENTRY,PVIRTUALCHANNELENTRY
ALLOCATEBUFFER,LPALLOCATEBUFFER
ALLOCATEMORE,LPALLOCATEMORE
FREEBUFFER,LPFREEBUFFER
NOTIFCALLBACK,LPNOTIFCALLBACK
ACCELERATEABSDI,LPFNABSDI
DISMISSMODELESS,LPFNDISMISS
WABOPEN,LPWABOPEN
WABOPENEX,LPWABOPENEX
DNS_QUERY_COMPLETION_ROUTINE,PDNS_QUERY_COMPLETION_ROUTINE
DNS_SERVICE_BROWSE_CALLBACK,PDNS_SERVICE_BROWSE_CALLBACK
DNS_SERVICE_RESOLVE_COMPLETE,PDNS_SERVICE_RESOLVE_COMPLETE
DNS_SERVICE_REGISTER_COMPLETE,PDNS_SERVICE_REGISTER_COMPLETE
MDNS_QUERY_CALLBACK,PMDNS_QUERY_CALLBACK
RTL_UMS_SCHEDULER_ENTRY_POINT,PRTL_UMS_SCHEDULER_ENTRY_POINT
PFIBER_START_ROUTINE,LPFIBER_START_ROUTINE
FEATURE_STATE_CHANGE_CALLBACK,PFEATURE_STATE_CHANGE_CALLBACK
BAD_MEMORY_CALLBACK_ROUTINE,PBAD_MEMORY_CALLBACK_ROUTINE
PWRSCHEMESENUMPROC_V2,PWRSCHEMESENUMPROC
DEVICE_NOTIFY_CALLBACK_ROUTINE,PDEVICE_NOTIFY_CALLBACK_ROUTINE
PBMCALLBACKFN,LPBMCALLBACKFN
MAPILOGON,LPMAPILOGON
MAPILOGOFF,LPMAPILOGOFF
MAPISENDMAIL,LPMAPISENDMAIL
